Assembly Only	Total	Error %	QV
0	37886	0.0000	inf
173	24200	0.0002	36.4
0	37654	0.0000	inf
58	70803	0.0000	45.8
0	63157	0.0000	inf
30	27572	0.0000	44.5
0	33150	0.0000	inf
0	14667	0.0000	inf
31	9714	0.0001	39.9
0	49376	0.0000	inf
0	28817	0.0000	inf
87	45546	0.0001	42.1
77	16264	0.0002	38.2
30	39271	0.0000	46.1
0	5361	0.0000	inf
115	34550	0.0001	39.7
254	44109	0.0002	37.3
83	25522	0.0001	39.8
0	34187	0.0000	inf
70	111638	0.0000	46.9
109	27743	0.0001	39.0
0	7278	0.0000	inf
147	69525	0.0001	41.7
0	16491	0.0000	inf
71	9969	0.0002	36.4
59	71620	0.0000	45.8
0	12692	0.0000	inf
0	17603	0.0000	inf
30	39840	0.0000	46.1
0	18844	0.0000	inf
0	41514	0.0000	inf
47	9720	0.0002	38.1
29	20117	0.0000	43.3
28	37385	0.0000	46.2
58	94679	0.0000	47.0
29	38153	0.0000	46.1
0	36198	0.0000	inf
45	22712	0.0001	41.9
30	19260	0.0001	43.0
88	47484	0.0001	42.2
30	51312	0.0000	47.2
30	35661	0.0000	45.7
137	44154	0.0001	40.0
58	30035	0.0001	42.1
0	37224	0.0000	inf
0	26074	0.0000	inf
0	37553	0.0000	inf
146	49939	0.0001	40.2
29	74168	0.0000	49.0
0	205783	0.0000	inf
30	34209	0.0000	45.5
59	70239	0.0000	45.7
145	55200	0.0001	40.7
28	39539	0.0000	46.4
30	34075	0.0000	45.5
239	86441	0.0001	40.5
26	7779	0.0001	39.7
29	27152	0.0000	44.6
30	37610	0.0000	45.9
0	13889	0.0000	inf
10	39255	0.0000	50.9
56	20734	0.0001	40.6
29	68860	0.0000	48.7
72	121920	0.0000	47.2
0	22726	0.0000	inf
30	37633	0.0000	45.9
30	37691	0.0000	45.9
60	79738	0.0000	46.1
0	77613	0.0000	inf
0	54599	0.0000	inf
30	39413	0.0000	46.1
0	58193	0.0000	inf
118	117092	0.0000	44.9
24	13791	0.0001	42.5
30	19451	0.0000	43.0
30	50880	0.0000	47.2
0	27608	0.0000	inf
47	7582	0.0002	37.0
52	30044	0.0001	42.5
0	39102	0.0000	inf
60	40120	0.0000	43.2
51	8972	0.0002	37.4
116	19774	0.0002	37.2
58	53907	0.0000	44.6
30	51163	0.0000	47.2
108	17039	0.0002	36.9
20	41722	0.0000	48.1
91	18334	0.0002	37.9
28	28286	0.0000	45.0
0	69710	0.0000	inf
81	31050	0.0001	40.7
0	60014	0.0000	inf
50	9406	0.0002	37.6
0	19251	0.0000	inf
0	59483	0.0000	inf
131	16903	0.0003	36.0
88	34334	0.0001	40.8
0	39676	0.0000	inf
0	8009	0.0000	inf
0	24753	0.0000	inf
60	11216	0.0002	37.6
28	29110	0.0000	45.1
50	23318	0.0001	41.6
73	5755	0.0004	33.9
32	21773	0.0000	43.2
82	27608	0.0001	40.2
150	24118	0.0002	37.0
82	20611	0.0001	38.9
0	63939	0.0000	inf
0	17461	0.0000	inf
29	32111	0.0000	45.4
28	50071	0.0000	47.4
13	33516	0.0000	49.0
25	20581	0.0000	44.1
33	77092	0.0000	48.6
49	16846	0.0001	40.3
52	17793	0.0001	40.2
76	55316	0.0000	43.5
59	21414	0.0001	40.5
88	23604	0.0001	39.2
0	12350	0.0000	inf
0	18987	0.0000	inf
19	38860	0.0000	48.0
79	10337	0.0002	36.1
90	65317	0.0000	43.5
0	8780	0.0000	inf
61	40296	0.0000	43.1
80	18108	0.0001	38.5
0	10198	0.0000	inf
90	116042	0.0000	46.0
60	98434	0.0000	47.1
29	19095	0.0000	43.1
0	61205	0.0000	inf
0	45922	0.0000	inf
25	15334	0.0001	42.8
29	23967	0.0000	44.1
0	47830	0.0000	inf
66	20838	0.0001	39.9
29	29430	0.0000	45.0
102	25775	0.0001	38.9
0	35171	0.0000	inf
26	21526	0.0000	44.1
0	52777	0.0000	inf
0	21190	0.0000	inf
90	32326	0.0001	40.5
0	46793	0.0000	inf
60	83909	0.0000	46.4
59	59888	0.0000	45.0
0	20047	0.0000	inf
105	29401	0.0001	39.4
29	44406	0.0000	46.8
51	5865	0.0003	35.5
29	34802	0.0000	45.7
0	17870	0.0000	inf
29	36126	0.0000	45.9
0	43325	0.0000	inf
106	29358	0.0001	39.3
117	70270	0.0001	42.7
144	30686	0.0002	38.2
60	56104	0.0000	44.6
60	90626	0.0000	46.7
88	60319	0.0000	43.3
60	38604	0.0001	43.0
92	36153	0.0001	40.9
0	66723	0.0000	inf
88	48294	0.0001	42.3
120	17169	0.0002	36.5
54	31844	0.0001	42.6
30	63427	0.0000	48.2
165	37218	0.0001	38.4
30	40334	0.0000	46.2
211	86889	0.0001	41.1
50	32565	0.0000	43.0
263	96551	0.0001	40.6
0	20319	0.0000	inf
29	29633	0.0000	45.0
83	27415	0.0001	40.1
79	17162	0.0001	38.3
30	101576	0.0000	50.2
62	37204	0.0001	42.7
0	64635	0.0000	inf
0	27235	0.0000	inf
58	95703	0.0000	47.1
30	48560	0.0000	47.0
99	17278	0.0002	37.3
0	30525	0.0000	inf
0	32834	0.0000	inf
38	37794	0.0000	44.9
30	23859	0.0000	43.9
54	22420	0.0001	41.1
9	45240	0.0000	51.9
246	56385	0.0001	38.5
